epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.85217,0.50644,0.87728,1,6.93229,0.0708824,0.00323529,0.00323529
2,5.30677,0.2782,0.82768,1,0.99658,0.0408173,0.0065036,0.0065036
3,7.72415,0.33524,0.43603,1,3.33854,0.0106863,0.0097059,0.0097059
4,9.93011,0.49795,0.71802,1,1.9834,0.009703,0.009703,0.009703
5,12.1045,0.64207,0.95039,1,0.15122,0.009604,0.009604,0.009604
6,14.2832,0.4136,0.78068,1,0.93994,0.009505,0.009505,0.009505
7,16.5265,0.3037,0.93734,1,0.21198,0.009406,0.009406,0.009406
8,18.7291,0.23727,0.94256,1,0.16048,0.009307,0.009307,0.009307
9,20.9589,0.2307,0.84073,1,0.3488,0.009208,0.009208,0.009208
10,23.1363,0.18102,0.97389,1,0.11171,0.009109,0.009109,0.009109
11,25.3641,0.18944,0.96867,1,0.14738,0.00901,0.00901,0.00901
12,27.5762,0.14074,0.9765,1,0.05217,0.008911,0.008911,0.008911
13,29.7625,0.12864,0.9765,1,0.08264,0.008812,0.008812,0.008812
14,32.0764,0.15906,0.98695,1,0.05493,0.008713,0.008713,0.008713
15,34.3723,0.12216,0.9765,1,0.08415,0.008614,0.008614,0.008614
16,36.7376,0.12653,0.97911,1,0.07961,0.008515,0.008515,0.008515
17,38.9608,0.11509,0.98956,1,0.0304,0.008416,0.008416,0.008416
18,41.23,0.11694,0.98695,1,0.05659,0.008317,0.008317,0.008317
19,43.4565,0.11348,0.98172,1,0.0795,0.008218,0.008218,0.008218
20,45.7105,0.12649,0.99478,1,0.02304,0.008119,0.008119,0.008119
21,47.905,0.10828,0.98433,1,0.09127,0.00802,0.00802,0.00802
22,50.1106,0.11552,0.98172,1,0.09635,0.007921,0.007921,0.007921
23,52.2768,0.10026,0.99217,1,0.05001,0.007822,0.007822,0.007822
24,54.5139,0.09554,0.98695,1,0.06208,0.007723,0.007723,0.007723
25,56.7482,0.07321,0.98172,1,0.07612,0.007624,0.007624,0.007624
26,59.0508,0.07849,0.98956,1,0.05649,0.007525,0.007525,0.007525
27,61.3232,0.07622,0.98433,1,0.06509,0.007426,0.007426,0.007426
28,63.6579,0.07468,0.96867,1,0.17912,0.007327,0.007327,0.007327
29,65.9758,0.11652,0.94256,1,0.20976,0.007228,0.007228,0.007228
30,68.2024,0.08189,0.98695,1,0.03888,0.007129,0.007129,0.007129
31,70.3778,0.07612,0.97389,1,0.07229,0.00703,0.00703,0.00703
32,72.656,0.0717,0.98172,1,0.06416,0.006931,0.006931,0.006931
33,75.0307,0.07158,0.97911,1,0.05193,0.006832,0.006832,0.006832
34,77.3915,0.05522,0.9765,1,0.07255,0.006733,0.006733,0.006733
35,79.6943,0.07373,0.99478,1,0.03177,0.006634,0.006634,0.006634
36,82.0286,0.81701,0.96084,1,0.139,0.006535,0.006535,0.006535
37,84.2391,0.28525,0.86945,1,nan,0.006436,0.006436,0.006436
38,86.6079,0.97058,0.84073,1,0.55428,0.006337,0.006337,0.006337
39,89.2232,0.16972,0.97911,1,0.0744,0.006238,0.006238,0.006238
40,91.7751,0.42442,0.98695,1,0.04803,0.006139,0.006139,0.006139
